"movieId","movieTitle","movieYear","movieURL","movieRank","critic_score","audience_score"
"318d2e99-64db-3ae5-acd9-9b9d14f74d88","Mean Machine",2001,"https://www.rottentomatoes.com/m/mean_machine",42,"34%","72%"
"d349c859-1305-376c-8028-89682820d8c8","See You Soon",2019,"https://www.rottentomatoes.com/m/see_you_soon",43,"33%","67%"
"8131b2da-4749-3d94-9be2-2055c4a7a499","Pelé",2016,"https://www.rottentomatoes.com/m/pele_birth_of_a_legend_2016",44,"32%","69%"
"8171d22f-1637-300c-b248-234dc0598afb","Believe",2013,"https://www.rottentomatoes.com/m/believe_2014",45,"30%","30%"
"7d2e7b1a-2ebf-4a26-b3b0-141593db337f","Shooting for Socrates",2015,"https://www.rottentomatoes.com/m/shooting_for_socrates",46,"29%","29%"
"cc778bc8-58db-31cc-93ab-0b95ca72aefc","The Game of Their Lives",2005,"https://www.rottentomatoes.com/m/le_match_de_leur_vie",47,"26%","55%"
"e14e169b-f9b5-328e-b899-498c1c992114","Ladybugs",1992,"https://www.rottentomatoes.com/m/ladybugs",48,"14%","43%"
"c3cc6184-af33-386f-8014-fed66f024809","Ronaldo",2015,"https://www.rottentomatoes.com/m/ronaldo",49,"13%","48%"
"569cf98d-538a-3a4b-89b3-fc638b252dd9","Playing for Keeps",2012,"https://www.rottentomatoes.com/m/playing_for_keeps_2012",50,"5%","41%"
"4237b32a-d262-3ad6-860a-908425c5ac71","The Big Green",1995,"https://www.rottentomatoes.com/m/big_green",51,"0%","46%"
"ee345d58-531b-3bce-b5b1-f376124bfa6c","United Passions",2014,"https://www.rottentomatoes.com/m/united_passions",52,"0%","12%"
